Kind,Name,CountClassCoupled
Public Class,"migration.M011_CreatingTeacherTable",0
Public Class,"migration.M012_CreatingClassTable",0
Public Class,"migration.M013_AddingClassStatusColumn",0
Public Class,"migration.M014_AddingStudentClassAttributes",0
Public Class,"migration.M015_UpdatingIdClassColumnToClass",0
Public Abstract Class,"migration.Migration",0
Public Class,"migration.RunMigration",1
Public Class,"model.Authentication",1
Public Class,"model.Class",7
Public Class,"model.Course",2
Public Abstract Class,"model.Model",0
Public Class,"model.Package",2
Public Class,"model.Payment",3
Public Class,"model.PaymentDescription",1
Public Class,"model.Person",6
Public Class,"model.Service",8
Public Abstract Class,"model.ServiceItem",1
Public Class,"model.Student",6
Public Class,"model.StudentClass",3
Public Class,"model.Teacher",7
Public Class,"util.ButtonColumn",0
Public Class,"view.AuthenticationView",2
Public Abstract Class,"view.ClassView",1
Public Class,"view.EditStudents",7
Anonymous Class,"view.EditStudents.EditStudents.(Anon_1)",8
Anonymous Class,"view.EditStudents.EditStudents.(Anon_2)",1
Public Class,"view.EnrollStudentInMoreCourses",18
Anonymous Class,"view.EnrollStudentInMoreCourses.createLabelsAndFields.(Anon_1)",2
Anonymous Class,"view.EnrollStudentInMoreCourses.createLabelsAndFields.(Anon_2)",1
Anonymous Class,"view.EnrollStudentInMoreCourses.createLabelsAndFields.(Anon_3)",1
Anonymous Class,"view.EnrollStudentInMoreCourses.createLabelsAndFields.(Anon_4)",1
Anonymous Class,"view.EnrollStudentInMoreCourses.createLabelsAndFields.(Anon_5)",1
Public Class,"view.EnrollStudentToClass",8
Anonymous Class,"view.EnrollStudentToClass.addButtons.(Anon_2)",2
Anonymous Class,"view.EnrollStudentToClass.addButtons.(Anon_3)",2
Anonymous Class,"view.EnrollStudentToClass.addButtons.(Anon_4)",1
Anonymous Class,"view.EnrollStudentToClass.enrollStudents.(Anon_1)",5
Public Abstract Class,"view.PersonView",1
Public Class,"view.SearchClass",6
Anonymous Class,"view.SearchClass.createButtonsAndListeners.(Anon_1)",1
Anonymous Class,"view.SearchClass.createButtonsAndListeners.(Anon_2)",1
Anonymous Class,"view.SearchClass.createButtonsAndListeners.(Anon_3)",4
Anonymous Class,"view.SearchClass.createStructOfResultTable.(Anon_4)",6
Anonymous Class,"view.SearchClass.createStructOfResultTable.(Anon_5)",6
Anonymous Class,"view.SearchClass.createStructOfResultTable.(Anon_6)",6
Public Class,"view.SearchCourse",5
Anonymous Class,"view.SearchCourse.createButtons.(Anon_3)",1
Anonymous Class,"view.SearchCourse.createLabelsAndFields.(Anon_1)",0
Anonymous Class,"view.SearchCourse.createLabelsAndFields.(Anon_2)",7
Public Class,"view.SearchPackage",7
Anonymous Class,"view.SearchPackage.createButtons.(Anon_5)",2
Anonymous Class,"view.SearchPackage.createLabelsAndFields.(Anon_1)",0
Anonymous Class,"view.SearchPackage.createLabelsAndFields.(Anon_2)",2
Anonymous Class,"view.SearchPackage.createLabelsAndFields.(Anon_3)",1
Anonymous Class,"view.SearchPackage.createLabelsAndFields.(Anon_4)",2
Public Class,"view.SearchStudent",17
Anonymous Class,"view.SearchStudent.createButtons.(Anon_3)",3
Anonymous Class,"view.SearchStudent.createLabelsAndFields.(Anon_1)",0
Anonymous Class,"view.SearchStudent.createLabelsAndFields.(Anon_2)",5
Public Class,"view.SearchTeacher",6
Anonymous Class,"view.SearchTeacher.addFields.(Anon_1)",0
Anonymous Class,"view.SearchTeacher.addFields.(Anon_2)",9
Anonymous Class,"view.SearchTeacher.createButtons.(Anon_3)",5
Public Abstract Class,"view.ServiceItemView",1
Public Class,"view.SimCta",0
Anonymous Class,"view.SimCta.createLinkToClasses.(Anon_4)",1
Anonymous Class,"view.SimCta.createLinkToCourses.(Anon_5)",2
Anonymous Class,"view.SimCta.createLinkToPackages.(Anon_3)",2
Anonymous Class,"view.SimCta.createLinkToStudents.(Anon_2)",2
Anonymous Class,"view.SimCta.main.(Anon_1)",1
Public Class,"view.UpdateDirectorPassword",0
Anonymous Class,"view.UpdateDirectorPassword.UpdateDirectorPassword.(Anon_1)",4
Public Class,"view.View",9
Anonymous Class,"view.View.addClassOptionsToMenu.(Anon_4)",4
Anonymous Class,"view.View.addClassOptionsToMenu.(Anon_5)",1
Anonymous Class,"view.View.addCourseOptionsToMenu.(Anon_12)",4
Anonymous Class,"view.View.addCourseOptionsToMenu.(Anon_13)",2
Anonymous Class,"view.View.addDirectorOptionsToMenu.(Anon_3)",2
Anonymous Class,"view.View.addPackageOptionsToMenu.(Anon_10)",5
Anonymous Class,"view.View.addPackageOptionsToMenu.(Anon_11)",2
Anonymous Class,"view.View.addStudentsOptionsToMenu.(Anon_8)",3
Anonymous Class,"view.View.addStudentsOptionsToMenu.(Anon_9)",2
Anonymous Class,"view.View.addTeacherOptionsToMenu.(Anon_6)",4
Anonymous Class,"view.View.addTeacherOptionsToMenu.(Anon_7)",3
Anonymous Class,"view.View.instantiateMenuBar.(Anon_2)",1
Anonymous Class,"view.View.main.(Anon_1)",1
Public Class,"view.decorator.EditCourseDecorator",2
Anonymous Class,"view.decorator.EditCourseDecorator.createButtons.(Anon_1)",8
Anonymous Class,"view.decorator.EditCourseDecorator.createButtons.(Anon_2)",4
Public Class,"view.decorator.EditPackageDecorator",5
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_1)",8
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_2)",3
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_3)",3
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_4)",4
Public Class,"view.decorator.EditTeacherDecorator",7
Anonymous Class,"view.decorator.EditTeacherDecorator.createButtons.(Anon_1)",15
Anonymous Class,"view.decorator.EditTeacherDecorator.createButtons.(Anon_2)",4
Public Class,"view.decorator.EnrollStudentDecorator",24
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_1)",1
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_2)",1
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_3)",2
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_4)",1
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_5)",2
Public Class,"view.decorator.NewCourseDecorator",1
Anonymous Class,"view.decorator.NewCourseDecorator.createButtons.(Anon_1)",7
Public Class,"view.decorator.NewPackageDecorator",4
Anonymous Class,"view.decorator.NewPackageDecorator.addCourse.(Anon_2)",3
Anonymous Class,"view.decorator.NewPackageDecorator.addCourse.(Anon_3)",3
Anonymous Class,"view.decorator.NewPackageDecorator.createButtons.(Anon_1)",7
Public Class,"view.decorator.NewTeacherDecorator",12
Anonymous Class,"view.decorator.NewTeacherDecorator.createButtons.(Anon_1)",2
Public Abstract Class,"view.decorator.PersonDecorator",1
Public Class,"view.decorator.ServiceItemDecorator",1
Public Class,"view.decorator.ShowCourseDecorator",2
Anonymous Class,"view.decorator.ShowCourseDecorator.createButtons.(Anon_1)",4
Anonymous Class,"view.decorator.ShowCourseDecorator.createButtons.(Anon_2)",2
Anonymous Class,"view.decorator.ShowCourseDecorator.createButtons.(Anon_3)",6
Public Class,"view.decorator.ShowPackageDecorator",5
Anonymous Class,"view.decorator.ShowPackageDecorator.createButtons.(Anon_1)",4
Anonymous Class,"view.decorator.ShowPackageDecorator.createButtons.(Anon_2)",2
Anonymous Class,"view.decorator.ShowPackageDecorator.createButtons.(Anon_3)",6
Public Class,"view.decorator.ShowStudentDecorator",12
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_1)",2
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_2)",2
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_3)",5
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_4)",4
Public Class,"view.decorator.ShowTeacherDecorator",7
Anonymous Class,"view.decorator.ShowTeacherDecorator.createButtons.(Anon_1)",4
Anonymous Class,"view.decorator.ShowTeacherDecorator.createButtons.(Anon_2)",6
Anonymous Class,"view.decorator.ShowTeacherDecorator.createButtons.(Anon_3)",2
Public Abstract Class,"view.decorator.class_decorator.ClassDecorator",2
Public Class,"view.decorator.class_decorator.EditClassDecorator",7
Anonymous Class,"view.decorator.class_decorator.EditClassDecorator.createButtons.(Anon_1)",10
Public Class,"view.decorator.class_decorator.NewClassDecorator",10
Anonymous Class,"view.decorator.class_decorator.NewClassDecorator.createButtons.(Anon_1)",11
Public Class,"view.decorator.class_decorator.ShowStudentsClassDecorator",12
Anonymous Class,"view.decorator.class_decorator.ShowStudentsClassDecorator.createButtons.(Anon_2)",6
Anonymous Class,"view.decorator.class_decorator.ShowStudentsClassDecorator.createButtons.(Anon_3)",1
Anonymous Class,"view.decorator.class_decorator.ShowStudentsClassDecorator.createLabelsAndFields.(Anon_1)",0
Public Class,"view.forms.ClassForm",1
Public Class,"view.forms.ClassShowForm",1
Public Class,"view.forms.PersonForm",1
Public Class,"view.forms.ServiceItemForm",1
Public Class,"view.forms.StudentForm",1
Public Class,"view.forms.TeacherForm",1
